Date,Time,Open,High,Low,Volume,SMA_14,SMA_50,SMA_200,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,MACD_Histogram,Bollinger_Upper,Bollinger_Lower,ATR_14,Volume_MA_20,Doji,Hammer,Shooting Star,candlestick_length,volume_increasing,volume_decreasing,price_volume_trend,Target
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
,,,,,,,,,,,,,,,,,,,False,False,False,,False,False,,
